ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_033296875.1_Achma1,79813,Achaetomium macrosporum,CBS 532.94,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomium,Achaetomium macrosporum
GCA_030579395.1_ASM3057939v1,43968,Aciculoconidium aculeatum,NRRL YB-4298,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum
GCA_000222935.2_AciTa_1.0,1036760,Aciculosporium take MAFF-241224,MAFF-241224,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take
GCA_019670975.1_ASM1967097v1,1176733,Acidiella bohemica,SYSU C17045,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica
GCA_054490815.1_RUAS_VINSTROM,1036751,Acremonium polychromum,NFCCI 6138,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium polychromum
GCA_028476805.1_ASM2847680v1,1589764,Acrocalymma vagum,A21,Ascomycota,,Dothideomycetes,,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma vagum
GCA_033807595.1_ASM3380759v1,150365,Acrodontium crateriforme,169a,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme
GCA_016098155.1_UCR_MambBC1055_1.0,1343610,Actinomortierella ambigua,BC1065,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,90253,Actinomortierella wolfii,NRRL 6351,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii
GCA_026027325.1_ASM2602732v1,64647,Actinomucor elegans,CJ-6,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans
GCA_004216415.1_S18-22,2518135,Aeminium ludgeri,E14,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri
GCA_038094355.1_BD703-Stobilomyces-lepidellus,3095450,Afroboletus lepidellus,UT-M0000099,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus
GCF_000300575.1_Agabi_varbisH97_2,936046,Agaricus bisporus var. bisporus H97,H97,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus
GCA_030246685.1_ASM3024668v1,5343,Agaricus bitorquis,BH01,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis
GCA_029719445.1_ASM2971944v1,79798,Agaricus blazei,JA-15036,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei
GCA_022315185.1_ASM2231518v1,1550288,Agaricus sinodeliciosus,ZRL20160001-S65,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus
GCA_029945375.1_Asub-V01,87252,Agaricus subrufescens,ABL 49,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens
GCA_041475395.1_ASM4147539v1,180424,Agroathelia delphinii,SD,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia delphinii
GCA_018343915.1_ASM1834391v1,39291,Agroathelia rolfsii,GP3,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,84603,Agrocybe chaxingu,MP-N11,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe chaxingu
GCA_013053245.1_LU_AGP_1.0,84607,Agrocybe pediades,CBS 102.39,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades
GCA_964017145.1_gfAgrPrae1.1,71668,Agrocybe praecox,,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox
GCA_051996675.1_ASM5199667v1,3018807,Agrocybe striatipes,ZRL20211296,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe striatipes
GCA_022814335.1_ASM2281433v1,443868,Agyrium rufum,Spribille 39798,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum
GCA_051529075.1_YNP63,2259046,Akanthomyces attenuatus,MUC8126,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces attenuatus
GCA_051527285.1_YNP42,132109,Akanthomyces dipterigenus,MUC9702,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus
GCA_001636795.1_LEL_1.0,1081108,Akanthomyces lecanii RCEF 1005,RCEF 1005,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii
GCF_028009165.1_ASM2800916v1,2231603,Akanthomyces muscarius,Ve6,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius
GCA_030778065.2_ASM3077806v2,2487154,Akanthomyces uredinophilus,MBC 350,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus
GCA_003314395.1_ASM331439v1,80570,Albatrellus ellisii,MG60,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii
GCA_020081605.1_ASM2008160v1,1859699,Albifimbria verrucaria,IMI 368023,Ascomycota,,Sordariomycetes,,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria verrucaria
GCA_051623215.1_EHU_AYaman_Ill_Nano,1635095,Albophoma yamanashiensis,EHU_M98,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Albophoma,Albophoma yamanashiensis
GCA_043388365.1_UoE_Agrylli_1,3367401,Albopleistophora grylli,EB-2024a,Microsporidia,,,,,Pleistophoridae,Albopleistophora,Albopleistophora grylli
GCA_905337325.1_GTX0161_lecanoromycete,1903189,Alectoria fallacina,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria fallacina
GCA_964257205.1_private_VT19_concoct_bin.7,111641,Alectoria ochroleuca,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria ochroleuca
GCA_964255965.1_private_X12_concoct_bin.4,111643,Alectoria sarmentosa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa
GCA_024752435.1_ASM2475243v1,1484957,Allantophomopsis cytisporea,ATCC 66955,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis cytisporea
GCA_024752465.1_ASM2475246v1,334518,Allantophomopsis lycopodina,ATCC 66958,Ascomycota,,Leotiomycetes,,Phacidiales,Phacidiaceae,Allantophomopsis,Allantophomopsis lycopodina
GCA_030581615.1_ASM3058161v1,27309,Alloascoidea africana,NRRL Y-6762-3,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea africana
GCA_001600815.1_JCM_7604_assembly_v001,54196,Alloascoidea hylecoeti,JCM 7604,Ascomycota,,Alloascoideomycetes,,Alloascoideales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti
GCA_030565225.1_ASM3056522v1,1936035,Allodekkera sacchari,CBS 14167,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Allodekkera,Allodekkera sacchari
GCA_027604705.1_ASM2760470v1,64504,Allomyces arbusculus,Burma 1F,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces arbusculus
GCA_027604645.1_ASM2760464v1,64505,Allomyces javanicus,California 12,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces javanicus
GCA_000151295.1_A_macrogynus_V3,578462,Allomyces macrogynus ATCC 38327,ATCC 38327,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus
GCA_053542345.1_ASM5354234v1,1111114,Alternaria alstroemeriae,L6,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alstroemeriae
GCA_036971565.1_ALTB1129b1.0,1281297,Alternaria alternarina,TB-1129,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternarina
GCF_001642055.1_Altal1,5599,Alternaria alternata,SRC1lrK2f,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata
GCA_022814545.1_ASM2281454v1,1187901,Alternaria angustiovoidea,FKII-L2-CM-DRAB1,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria angustiovoidea
GCF_004154835.1_ASM415483v1,156630,Alternaria arborescens,FERA 675,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arborescens
GCF_024043155.1_ASM2404315v1,232088,Alternaria arbusti,BMP 1465,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria arbusti
GCF_907166805.1_ALTATR162,119953,Alternaria atra,CS162,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria atra
GCA_036768465.1_ASM3676846v1,29911,Alternaria brassicae,PNT,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicae
GCA_977862185.1_Abra43_GG,29001,Alternaria brassicicola,,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola
GCF_013036055.1_ASM1303605v1,1187904,Alternaria burnsii,CBS107.38,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria burnsii
GCA_047302185.1_ASM4730218v1,1187911,Alternaria chlamydospora,SC11,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria chlamydospora
GCF_024043145.1_ASM2404314v1,181017,Alternaria conjuncta,BMP 0040,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria conjuncta
GCA_001950455.1_JCM_1940_assembly_v001,230004,Alternaria consortialis,JCM 1940,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis
GCF_042100115.1_ASM4210011v1,48095,Alternaria dauci,A2016,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria dauci
GCA_037044395.1_ASM3704439v1,230003,Alternaria destruens,LH_A593,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria destruens
GCF_023757985.1_ASM2375798v1,181014,Alternaria ethzedia,BMP 0044,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria ethzedia
GCA_004156025.2_ASM415602v2,167740,Alternaria gaisen,FERA 650,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gaisen
GCA_009289805.1_ASM928980v1,644589,Alternaria gansuensis,LYZ1412,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria gansuensis
GCF_023758085.1_ASM2375808v1,1187925,Alternaria hordeiaustralica,BMP 2776,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria hordeiaustralica
GCF_024043165.1_ASM2404316v1,1187928,Alternaria incomplexa,BMP 0042,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria incomplexa
GCF_024043175.1_ASM2404317v1,45303,Alternaria infectoria,BMP 0036,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria infectoria
GCA_047834895.1_ASM4783489v1,1568907,Alternaria linariae,25,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria linariae
GCA_019059555.1_ASM1905955v1,160389,Alternaria longipes,CBS 540.94,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes
GCF_023757995.1_ASM2375799v1,283354,Alternaria metachromatica,BMP 0045,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria metachromatica
GCF_023758075.1_ASM2375807v1,430562,Alternaria novae-zelandiae,BMP 2774,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria novae-zelandiae
GCA_040583965.1_DAOMC238619_v1,283353,Alternaria oregonensis,DAOMC238619,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria oregonensis
GCA_019702505.1_ASM1970250v1,48097,Alternaria panax,BNCC115425,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria panax
GCA_029783965.1_RDWU_Aporii_p.ctg,48098,Alternaria porri,Apn-Nashik,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria porri
GCF_024291825.1_ASM2429182v1,1187938,Alternaria postmessia,BMP 2775,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria postmessia
GCA_050230835.1_ASM5023083v1,119925,Alternaria radicina,CBR2,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria radicina
GCF_020736505.1_Altro1,1187941,Alternaria rosae,MPI-PUGE-AT-0040,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae
GCA_002952155.1_ASM295215v1,48100,Alternaria solani,NL03003,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria solani
GCA_041430775.1_ASM4143077v1,119927,Alternaria tenuissima,JgmB 36-2,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria tenuissima
GCF_023758025.1_ASM2375802v1,297637,Alternaria triticimaculans,BMP 0046,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticimaculans
GCA_040583995.1_DAOMC238612_v1,216836,Alternaria triticina,DAOMC238612,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria triticina
GCF_023758065.1_ASM2375806v1,1187951,Alternaria ventricosa,BMP 2768,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria ventricosa
GCF_023758015.1_ASM2375801v1,566460,Alternaria viburni,BMP 2772,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria viburni
GCA_030386735.1_Fv_Alternosema1,3037678,Alternosema astaquatica,1,Microsporidia,,,,,,Alternosema,Alternosema astaquatica
GCA_026054675.1_ASM2605467v1,91480,Alyxoria varia,Spribille s.n. 20.09.2020/TS-e1968,Ascomycota,,Arthoniomycetes,,Arthoniales,Lecanographaceae,Alyxoria,Alyxoria varia
GCA_001983365.1_ASM198336v1,87325,Amanita bisporigera,Ingham01,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita bisporigera
GCA_001691785.3_ASM169178v3,1457509,Amanita brunnescens Koide BX004,Koide BX004,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita brunnescens
GCA_023014455.1_ASM2301445v1,262245,Amanita exitialis,LH00005,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita exitialis
GCA_023014435.1_ASM2301443v1,67708,Amanita fuliginea,LH00002,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita fuliginea
GCA_001691775.3_ASM169177v3,1457513,Amanita inopinata Kibby_2008,Kibby_2008,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita inopinata
GCA_000497225.1_AmaJack1.0,1417757,Amanita jacksonii TRTC168611,,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita jacksonii
GCA_023014405.1_ASM2301440v1,1506954,Amanita molliuscula,LH00009,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita molliuscula
GCA_054369615.1_ASM5436961v1,41956,Amanita muscaria,2016PMI152,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita muscaria
GCA_023014475.1_ASM2301447v1,1324310,Amanita pallidorosea,LH00007,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea
GCA_032173475.1_ASM3217347v1,67723,Amanita phalloides,,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita phalloides
GCA_001691755.2_ASM169175v2,1457511,Amanita polypyramis BW_CC,BW_CC,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita polypyramis
GCA_003316615.1_ASM331661v1,67725,Amanita pseudoporphyria,MG37,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita pseudoporphyria
GCA_023014395.1_ASM2301439v1,580330,Amanita rimosa,LH00003,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita rimosa
GCA_965266955.1_gfAmaRube1.hap1.1,71933,Amanita rubescens,,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita rubescens
GCA_020011035.1_ASM2001103v1,67733,Amanita subjunquillea,LH00001,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita subjunquillea
GCA_002554575.1_Amanita_thiersii_v1.0,703135,Amanita thiersii Skay4041,SKay4041,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita thiersii
GCA_001430945.1_ASM143094v1,89421,Amauroascus niger,UAMH 3544,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Amauroascus,Amauroascus niger
GCA_001430935.1_ASM143093v1,2074759,Amauroascus verrucosus,UAMH 3576,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Amauroascus,Amauroascus verrucosus
GCA_910591945.1_Ambispora_gerdemannii_MT106,144530,Ambispora gerdemannii,MT106,Mucoromycota,,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora gerdemannii
GCA_910591765.1_Ambispora_leptoticha_FL130A,144679,Ambispora leptoticha,FL130A,Mucoromycota,,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora leptoticha
GCA_030294605.1_ASM3029460v1,573041,Ambrosiella beaveri,CBS 121753,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella beaveri
GCA_017139545.1_ASM1713954v1,1906498,Ambrosiella cleistominuta,CBS 141682,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella cleistominuta
GCA_050613645.1_ASM5061364v1,1535305,Ambrosiella roeperi,2021000006,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella roeperi
GCA_002778035.1_ASM277803v1,44383,Ambrosiella xylebori,CBS 110.61,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella xylebori
GCA_003705185.2_ASM370518v2,53487,Ambrosiozyma ambrosiae,NRRL Y-7524,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma ambrosiae
GCA_030567475.1_ASM3056747v1,53648,Ambrosiozyma angophorae,NRRL Y-7118,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma angophorae
GCA_030579935.1_ASM3057993v1,44082,Ambrosiozyma cicatricosa,NRRL Y-17594T,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma cicatricosa
GCA_030572235.1_ASM3057223v1,1382202,Ambrosiozyma kamigamensis,NRRL Y-63629,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma kamigamensis
GCA_001599075.1_JCM_15019_assembly_v001,489715,Ambrosiozyma kashinagicola,JCM 15019,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma kashinagicola
GCA_030568425.1_ASM3056842v1,51920,Ambrosiozyma llanquihuensis,NRRL Y-17657,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma llanquihuensis
GCA_003706635.2_ASM370663v2,904902,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma maleeae (nom. inval.)
GCA_001599995.1_JCM_7599_assembly_v001,43982,Ambrosiozyma monospora,JCM 7599,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma monospora
GCA_030567495.1_ASM3056749v1,1382203,Ambrosiozyma neoplatypodis,NRRL Y-63630,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma neoplatypodis
GCA_003706315.3_ASM370631v3,1382206,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma oregonensis (nom. inval.)
GCA_003707675.3_ASM370767v3,43984,Ambrosiozyma philentoma,NRRL Y-7523,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma philentoma
GCA_030557395.1_ASM3055739v1,36918,Ambrosiozyma platypodis,NRRL Y-6732,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma platypodis
GCA_003707895.3_ASM370789v3,489716,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma pseudovanderkliftii
GCA_003705225.2_ASM370522v2,489717,Ambrosiozyma vanderkliftii,NRRL Y-63633,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Ambrosiozyma,Ambrosiozyma vanderkliftii
GCA_004802645.1_ASM480264v1,1934353,Amesia nigricolor,F5,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor
GCA_010015725.1_Amnli1,1392246,Amniculicola lignicola CBS 123094,CBS 123094,Ascomycota,,Dothideomycetes,,Pleosporales,Amniculicolaceae,Amniculicola,Amniculicola lignicola
GCA_018985225.1_ASM1898522v1,2109901,Amoeboradix gromovi,X-113,Sanchytriomycota,,Sanchytriomycetes,,Sanchytriales,Sanchytriaceae,Amoeboradix,Amoeboradix gromovi
GCF_003019875.1_Amore1,857342,Amorphotheca resinae ATCC 22711,ATCC 22711,Ascomycota,,Leotiomycetes,,Helotiales,Amorphothecaceae,Amorphotheca,Amorphotheca resinae
GCA_018398575.1_ASM1839857v1,50730,Ampelomyces quisqualis,BRIP 72107,Ascomycota,,Dothideomycetes,,Pleosporales,Phaeosphaeriaceae,Ampelomyces,Ampelomyces quisqualis
GCA_050947745.1_ASM5094774v1,37994,Amphichorda felina,45539,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Amphichorda,Amphichorda felina
GCA_004123355.1_ASM412335v1,743113,Amphirosellinia nigrospora,JS-1675,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Amphirosellinia,Amphirosellinia nigrospora
GCA_982296945.1_gfAmpClav1.hap2.1,56467,Ampulloclitocybe clavipes,,Basidiomycota,,Agaricomycetes,,Agaricales,Hygrophoraceae,Ampulloclitocybe,Ampulloclitocybe clavipes
GCA_019669835.1_Amyenc1,45428,Amylocarpus encephaloides,TRa018bII,Ascomycota,,Leotiomycetes,,Helotiales,,Amylocarpus,Amylocarpus encephaloides
GCA_022376435.1_Amylap1_1,202700,Amylocystis lapponica,SKaAmylap13,Basidiomycota,,Agaricomycetes,,Polyporales,Postiaceae,Amylocystis,Amylocystis lapponica
GCA_036971615.1_ASM3697161v1,1333629,Amyloporia xantha,YAFMF0618,Basidiomycota,,Agaricomycetes,,Polyporales,Adustoporiaceae,Amyloporia,Amyloporia xantha
