month,cumulative_assemblies,cumulative_species,cumulative_genera,cumulative_families,cumulative_orders,species_with_multiple_strains
2001-07,1,1,1,1,1,0
2002-12,2,2,2,2,2,0
2003-03,5,5,2,2,2,0
2003-05,6,6,3,2,2,0
2004-03,7,7,4,2,2,0
2004-04,8,8,5,3,3,0
2004-07,11,11,8,4,5,0
2005-01,12,11,8,4,5,1
2005-06,13,12,8,4,5,1
2005-10,14,12,8,4,5,2
2006-02,15,13,9,5,6,2
2006-08,16,14,10,6,7,2
2006-09,18,15,11,7,7,3
2006-10,19,16,12,7,8,3
2006-11,20,16,12,7,8,4
2006-12,22,18,12,7,8,4
2007-02,23,19,13,8,9,4
2007-04,25,21,14,9,10,4
2007-05,27,23,16,9,10,4
2007-07,31,25,17,10,10,5
2007-08,32,26,18,10,10,5
2007-11,39,29,20,12,11,7
2007-12,40,30,20,12,11,7
2008-01,44,31,21,13,12,7
2008-02,45,31,21,13,12,7
2008-05,47,32,22,14,12,7
2008-06,48,33,23,15,13,7
2008-08,50,35,25,16,14,7
2008-09,52,36,26,16,14,7
2008-10,55,39,29,18,14,7
2008-11,57,41,31,19,15,7
2008-12,59,43,32,20,15,7
2009-01,61,45,34,22,15,7
2009-02,64,48,36,22,15,7
2009-03,67,51,37,22,15,7
2009-05,70,54,40,24,17,7
2009-06,79,61,43,26,17,8
2009-08,81,63,43,26,17,8
2009-09,83,65,44,27,17,8
2009-10,84,65,44,27,17,8
2009-11,85,66,44,27,17,8
2010-02,86,67,45,28,18,8
2010-03,90,69,45,28,18,9
2010-05,92,70,46,29,19,9
2010-06,93,71,47,30,19,9
2010-07,95,73,47,30,19,9
2010-08,97,75,49,32,20,9
2010-10,99,77,51,33,20,9
2010-11,103,80,53,35,21,9
2010-12,104,81,54,36,22,9
2011-01,106,83,55,37,23,9
2011-02,115,85,57,39,24,9
2011-03,125,89,61,41,25,9
2011-04,133,90,62,42,25,11
2011-05,134,91,62,42,25,11
2011-06,139,95,65,45,27,12
2011-07,147,101,68,47,28,13
2011-08,172,116,75,48,29,17
2011-09,182,123,80,51,31,18
2011-10,189,127,83,53,32,20
2011-11,199,135,86,53,32,21
2011-12,203,138,88,54,33,22
2012-01,206,140,90,55,34,23
2012-02,207,141,90,55,34,23
2012-03,212,146,92,56,34,23
2012-04,233,149,94,57,35,24
2012-05,241,155,99,60,37,25
2012-06,253,164,108,67,41,27
2012-07,261,169,111,68,41,27
2012-08,270,176,115,69,42,28
2012-09,277,183,120,73,44,28
2012-10,286,188,124,75,45,30
2012-11,292,192,125,75,45,31
2012-12,295,194,126,76,46,32
2013-01,304,201,131,78,47,34
2013-02,315,209,136,80,47,35
2013-03,330,218,141,84,49,38
2013-04,349,226,147,87,49,43
2013-05,355,231,151,88,50,44
2013-06,363,236,155,91,51,46
2013-07,376,246,161,96,53,47
2013-08,399,257,166,97,54,49
2013-09,406,263,171,100,56,50
2013-10,415,268,173,101,56,50
2013-11,426,277,178,105,56,51
2013-12,439,286,185,106,56,52
2014-01,450,295,188,109,58,53
2014-02,477,308,191,110,59,55
2014-03,498,325,197,115,61,57
2014-04,519,330,199,117,62,62
2014-05,528,333,201,118,63,64
2014-06,579,364,217,129,68,75
2014-07,640,383,224,132,69,78
2014-08,656,390,229,134,69,82
2014-09,678,409,231,135,69,83
2014-10,720,414,233,136,69,86
2014-11,758,422,237,136,69,90
2014-12,784,435,243,140,70,94
2015-01,817,465,257,150,73,95
2015-02,860,491,269,154,73,101
2015-03,877,501,273,156,73,105
2015-04,894,512,278,157,74,106
2015-05,919,528,282,159,75,111
2015-06,934,533,285,160,75,113
2015-07,958,544,290,163,76,119
2015-08,988,556,294,166,76,125
2015-09,996,563,296,166,76,125
2015-10,1022,581,302,169,78,126
2015-11,1039,594,308,171,79,128
2015-12,1061,600,309,171,79,132
2016-01,1083,615,316,174,79,133
2016-02,1148,632,323,177,80,138
2016-03,1266,713,367,198,92,152
2016-04,1300,736,382,205,94,158
2016-05,1348,767,396,210,94,164
2016-06,1438,793,403,213,96,168
2016-07,1483,811,412,217,98,175
2016-08,1550,818,414,217,98,183
2016-09,1727,840,421,220,101,190
2016-10,1756,858,423,220,101,194
2016-11,1793,868,426,222,102,196
2016-12,1848,896,430,222,102,205
2017-01,1967,919,436,225,103,210
2017-02,2009,931,437,225,103,211
2017-03,2047,947,439,225,103,216
2017-04,2133,981,462,234,105,223
2017-05,2165,1005,466,234,105,228
2017-06,2189,1018,470,236,105,230
2017-07,2290,1037,478,240,106,233
2017-08,2328,1054,483,241,107,237
2017-09,2410,1099,488,244,107,262
2017-10,2453,1116,492,245,107,269
2017-11,2497,1148,506,245,107,274
2017-12,2515,1159,507,246,107,274
2018-01,2572,1185,509,248,108,283
2018-02,2659,1212,515,250,109,292
2018-03,2881,1264,524,255,110,311
2018-04,2929,1290,533,259,110,317
2018-05,2961,1314,541,265,113,320
2018-06,3033,1346,545,266,113,327
2018-07,3150,1439,575,277,115,337
2018-08,3198,1471,582,279,115,342
2018-09,3258,1492,589,282,116,345
2018-10,3458,1530,603,286,119,360
2018-11,3538,1560,609,288,119,369
2018-12,3607,1588,623,294,121,373
2019-01,3808,1620,633,299,122,387
2019-02,3869,1643,640,300,122,398
2019-03,4003,1686,653,306,123,409
2019-04,4228,1719,660,307,123,419
2019-05,4265,1738,665,308,123,423
2019-06,4299,1746,668,308,123,428
2019-07,4355,1766,673,309,123,438
2019-08,4395,1782,677,309,123,449
2019-09,4440,1794,680,309,123,454
2019-10,4600,1826,683,310,123,465
2019-11,4794,1838,684,310,123,471
2019-12,5019,1890,691,312,124,483
2020-01,5103,1950,736,337,130,490
2020-02,5358,1975,744,342,132,500
2020-03,5506,1998,750,344,133,513
2020-04,5663,2030,759,344,133,523
2020-05,5816,2072,761,344,133,536
2020-06,5901,2111,767,346,134,541
2020-07,6045,2187,776,347,134,553
2020-08,6128,2201,778,347,134,559
2020-09,6237,2241,788,350,134,570
2020-10,6449,2291,800,355,134,583
2020-11,6618,2344,815,357,136,596
2020-12,6776,2388,820,357,136,620
2021-01,6860,2429,830,361,137,628
2021-02,6914,2443,833,363,138,635
2021-03,6999,2476,840,365,138,644
2021-04,7257,2513,846,366,139,655
2021-05,7466,2564,855,368,139,665
2021-06,7618,2604,863,371,140,676
2021-07,7866,2635,867,371,140,696
2021-08,8012,2709,880,372,141,707
2021-09,8206,2766,890,375,142,721
2021-10,8705,2794,897,378,143,735
2021-11,8873,2846,910,383,144,741
2021-12,8944,2875,921,388,148,746
2022-01,9056,2914,925,390,148,757
2022-02,9270,2993,938,394,148,770
2022-03,9487,3079,952,397,150,796
2022-04,10130,3192,992,411,158,832
2022-05,10200,3224,999,412,158,840
2022-06,10727,3445,1015,414,158,872
2022-07,10850,3502,1021,416,158,885
2022-08,11118,3555,1030,417,158,896
2022-09,11398,3616,1050,425,160,912
2022-10,11649,3679,1070,430,163,935
2022-11,12085,3750,1099,445,170,961
2022-12,12218,3779,1110,448,171,974
2023-01,12653,4050,1140,457,173,1014
2023-02,12819,4130,1145,458,173,1035
2023-03,13013,4199,1151,460,173,1057
2023-04,13155,4235,1156,461,174,1078
2023-05,13287,4261,1163,464,175,1088
2023-06,13351,4287,1169,467,176,1096
2023-07,14436,5055,1232,468,177,1246
2023-08,14912,5142,1239,468,177,1265
2023-09,15103,5166,1239,468,177,1284
2023-10,15299,5211,1260,472,177,1293
2023-11,15400,5240,1267,472,177,1302
2023-12,15480,5251,1273,472,177,1313
2024-01,15643,5281,1279,473,177,1328
2024-02,15717,5317,1282,474,177,1337
2024-03,16016,5448,1294,475,178,1357
2024-04,16546,5786,1362,480,179,1423
2024-05,16676,5817,1364,480,179,1437
2024-06,16820,5848,1366,482,179,1445
2024-07,17079,5942,1381,482,179,1475
2024-08,17252,5973,1388,484,180,1484
2024-09,17666,6323,1476,506,185,1522
2024-10,18115,6383,1489,507,185,1534
2024-11,18214,6404,1494,508,185,1546
2024-12,18631,6457,1507,508,185,1561
2025-01,18782,6495,1517,508,185,1574
2025-02,19393,6555,1521,508,185,1590
2025-03,19610,6597,1525,508,185,1604
2025-04,19834,6648,1537,510,185,1617
2025-05,19930,6666,1540,510,185,1630
2025-06,20124,6710,1542,511,185,1652
2025-07,20398,6767,1556,513,185,1678
2025-08,20676,6916,1593,519,187,1707
2025-09,20900,6937,1599,521,187,1712
2025-10,21078,6954,1602,524,189,1715
2025-11,21288,6985,1605,524,189,1735
2025-12,21552,7009,1608,525,189,1751
2026-01,21659,7034,1617,525,189,1755
2026-02,21847,7054,1620,525,189,1771
2026-03,22200,7111,1624,527,190,1800
2026-04,22506,7165,1634,530,191,1820
2026-05,22867,7191,1636,530,191,1843
2026-06,23078,7225,1643,536,196,1850
